"id","name","latitude","longitude","icon_url","location","size_km","establishment","major_species","govenance_status","description"
"11","Mombasa Marine National Park and Reserve","-4.133300","39.733300","/assets/icons/park.png","Located on the coast of Mombasa County, Kenya.","10","1968","Coral reefs, fish, dolphins, whales, and various marine organisms","Kenya Wildlife Service","Established in 1968, Mombasa Marine National Park and Reserve covers 10 km². It is located on the Kenyan coast near Mombasa and is a marine protected area offering rich marine biodiversity. The park is managed by Kenya Wildlife Service with a focus on marine conservation and tourism management."
"12","Mount Elgon National Park","1.366700","34.516700","/assets/icons/park.png","Located in Bungoma County, Kenya, approximately 140 km northeast of Lake Victoria.","1690","1968","African elephant, lion, leopard, buffalo, giraffe, zebra, hartebeest, wildebeest, and various bird species","Kenya Wildlife Service","Established in 1968, Mount Elgon National Park covers 1,690 km². It straddles the Kenya-Uganda border and is part of the Mount Elgon ecosystem. The park features diverse landscapes, including forests, caves, and cliffs, and is home to a variety of wildlife. The park is managed by Kenya Wildlife Service with a focus on conservation and tourism management."
"13","Mount Kenya National Park and Reserve","-0.133300","37.300000","/assets/icons/park.png","Located in Nyeri County, Kenya, approximately 150 km northeast of Nairobi.","2124","1949","African elephant, white-tailed mongoose, suni, black-fronted duiker, mole rat, bushbuck, tree hyrax, waterbuck, eland, and over 130 bird species","Kenya Wildlife Service","Established in 1949, Mount Kenya National Park and Reserve covers 2,124 km². It is situated around Mount Kenya and serves as a water catchment area and habitat for wildlife. The park features alpine vegetation and diverse wildlife. It is managed by Kenya Wildlife Service with a focus on conservation and tourism management."
"14","Mount Longonot National Park","-1.083300","36.416700","/assets/icons/park.png","Located in Nakuru County, Kenya, approximately 92 km northwest of Nairobi.","53","1984","African elephant, lion, leopard, buffalo, giraffe, zebra, hartebeest, wildebeest, and various bird species","Kenya Wildlife Service","Established in 1984, Mount Longonot National Park covers 53 km². It is located near Lake Naivasha in the Great Rift Valley and features Mount Longonot, an extinct volcano. The park offers hiking and scenic views and is managed by Kenya Wildlife Service with a focus on conservation and tourism management."
"15","Nairobi National Park","-1.424500","36.767100","/assets/icons/park.png","Located in Nairobi County, Kenya, approximately 7 km south of Nairobi.","117","1946","African elephant, lion, leopard, buffalo, rhinoceros, giraffe, zebra, wildebeest, and various bird species","Kenya Wildlife Service","Established in 1946, Nairobi National Park covers 117 km². It is the first game reserve in Kenya and the only protected area close to a national capital. The park is home to a variety of wildlife, including rhinoceroses and giraffes. The park is managed by Kenya Wildlife Service with a focus on conservation and tourism management."
"16","Ndere Island National Park","0.566700","34.433300","/assets/icons/park.png","Located on Lake Victoria in Siaya County, Kenya.","0.4","1984","Various bird species","Kenya Wildlife Service","Established in 1984, Ndere Island National Park covers 0.4 km². It is located on Lake Victoria and is a small island known for its rich birdlife. The park is managed by Kenya Wildlife Service with a focus on conservation and tourism management."
"17","Oldonyo Sabuk National Park","-1.116700","37.016700","/assets/icons/park.png","Located in Nyeri County, Kenya.","10","1984","African elephant, lion, leopard, buffalo, giraffe, zebra, hartebeest, wildebeest, and various bird species","Kenya Wildlife Service","Established in 1984, Oldonyo Sabuk National Park covers 10 km². It is located near Mount Kenya and features Oldonyo Sabuk, a volcanic peak. The park offers hiking and scenic views and is managed by Kenya Wildlife Service with a focus on conservation and tourism management."
"18","Saiwa Swamp National Park","0.450000","34.700000","/assets/icons/park.png","Located in Trans-Nzoia County, Kenya.","3","1974","Sitatunga antelope, African elephant, lion, leopard, buffalo, giraffe, zebra, hartebeest, wildebeest, and various bird species","Kenya Wildlife Service","Established in 1974, Saiwa Swamp National Park covers 3 km². It is located in the Great Rift Valley and features a wetland ecosystem. The park is home to the endangered sitatunga antelope and various bird species. The park is managed by Kenya Wildlife Service with a focus on conservation and tourism management."
"19","Sibiloi National Park","2.800000","36.750000","/assets/icons/park.png","Located in Marsabit County, Kenya.","150","1981","African elephant, lion, leopard, buffalo, giraffe, zebra, hartebeest, wildebeest, and various bird species","Kenya Wildlife Service","Established in 1981, Sibiloi National Park covers 150 km². It is located near Lake Turkana in northern Kenya and is known for its prehistoric fossils and wildlife. The park is managed by Kenya Wildlife Service with a focus on conservation and tourism management."
"20","South Island National Park","2.788300","35.833300","/assets/icons/park.png","Located on Lake Turkana in northern Kenya.","2.5","1983","Nile crocodile, various fish species, migratory birds, and resident birds","Kenya Wildlife Service","Established in 1983, South Island National Park covers 2.5 km². It is located on Lake Turkana and is one of the largest Nile crocodile breeding grounds. The park is a haven for birds and migratory birds. The park is managed by Kenya Wildlife Service with a focus on conservation and tourism management."
"21","Tsavo East National Park","-2.983300","40.183300","/assets/icons/park.png","Located in Taita-Taveta County, Kenya, approximately 330 km southeast of Nairobi.","11747","1948","African elephant, lion, leopard, buffalo, rhinoceros, giraffe, zebra, hartebeest, gerenuk, lesser kudu, and over 500 bird species","Kenya Wildlife Service","Established in 1948, Tsavo East National Park covers 11,747 km². It is the largest national park in Kenya and features vast herds of red-dusted elephants. The park is one of Kenya's oldest and most famous parks. The park is managed by Kenya Wildlife Service with a focus on conservation and tourism management."
"22","Tsavo West National Park","-3.183300","38.350000","/assets/icons/park.png","Located in Taita-Taveta County, Kenya, approximately 330 km southeast of Nairobi.","9065","1948","African elephant, lion, leopard, buffalo, rhinoceros, giraffe, zebra, hartebeest, wildebeest, and various bird species","Kenya Wildlife Service","Established in 1948, Tsavo West National Park covers 9,065 km². It is located near Voi Town in Taita-Taveta County and features diverse landscapes such as mountains, forests, and lakes. The park is home to a variety of wildlife, including elephants and lions. The park is managed by Kenya Wildlife Service with a focus on conservation and tourism management."
"23","Watamu Marine National Park and Reserve","-3.366700","40.150000","/assets/icons/park.png","Located on the coast of Kilifi County, Kenya.","10","1968","Coral reefs, fish, dolphins, whales, and various marine organisms","Kenya Wildlife Service","Established in 1968, Watamu Marine National Park and Reserve covers 10 km². It is located on the Kenyan coast near Watamu and is a marine protected area offering rich marine biodiversity. The park is managed by Kenya Wildlife Service with a focus on marine conservation and tourism management."
